tx_id,payload_size,tx_type,arrival_ms,from,nonce
0,36,mint,1735772400041,0xe4f87567e56310e81ef2cdc7ea3933057906b28e,0
1,68,transfer,1735772400403,0x141d2dcba63e531743052b24c67efdee211e04ca,32
2,68,transfer,1735772401074,0x6890c9fe0953fe0ef40a3d02a8d0870909d2c569,2
3,68,transfer,1735772401150,0xe110a9abff8d6fbf9f0a119345722a78972cc43d,16569
4,68,transfer,1735772401209,0x2b58b0521ee898475496a6a45b4d126e84d9b835,57
5,68,transfer,1735772401302,0x58b8e69364d6132efbb02104068653a1ec7d9df0,0
6,868,other,1735772401488,0xaaaf0666a916bdf97710a8e44e42ba250490e5b8,1791
7,1892,other,1735772401615,0x7830c87c02e56aff27fa8ab1241711331fa86f43,2022426
8,68,transfer,1735772401709,0x1a847b0d11120b8510edcd3c81c4e4249460330a,55304
9,68,transfer,1735772401791,0xb1b51b15125e688aea7b919eca7a4eb94aab8f17,159
10,68,transfer,1735772402290,0x97365932aac6c2bbd394e2c8d946458f1437f5b1,2
11,2308,swap,1735772402397,0x141d2dcba63e531743052b24c67efdee211e04ca,33
12,806,swap,1735772402460,0xc7c449ac879d83860da27338e2ff32109a76a650,60
13,10980,other,1735772402672,0x8dbee8f3917049bc30fef01924a7ac79d16cf2b9,11708
14,68,transfer,1735772402784,0xe69022e830428f5a52f1d154e09a57a4ed2995fe,30097
15,68,transfer,1735772402869,0x6cfcf1771b36ce1d732cfc7aaf4bbf5ef6d74b41,0
16,196,other,1735772402893,0x8d7953e50eaac97643cd47490bffed83a729144e,306
17,68,transfer,1735772403030,0x337f7a80107b4e0f1c5117f5ef864b1b9a5adc26,3
18,548,other,1735772403466,0x5e809a85aa182a9921edd10a4163745bb3e36284,215253
19,292,other,1735772403617,0x1c9154c2759f355147d3cf93b7d93e54fb38035a,5
20,68,transfer,1735772403779,0x2523b968e1df8601f867e1edaf88f3d0c9ced245,13
21,68,transfer,1735772403892,0x20e9d800e98c773fe3e43d2b6cd87796afd59d28,1
22,68,transfer,1735772403924,0x26cb9c59c5f07da169815e6e7e73d0bafaa0988a,19
23,68,transfer,1735772404156,0x67dcc4355370d84e63d45196ee2ab7d762a23332,178
24,375,other,1735772404247,0xfcde1d8c09c9fe0182fe37b980b843f6388e12b1,10872
25,68,transfer,1735772404324,0xf9f476bd10334c77fe245aef40e334f500c25633,0
26,4,other,1735772404444,0x3c246c1e03ba013801a7a2d61f33569be87ddb39,195
27,1668,swap,1735772404504,0x26cb9c59c5f07da169815e6e7e73d0bafaa0988a,20
