tx_id,payload_size,tx_type,arrival_ms,from,nonce
0,68,transfer,1735732800209,0xe9fda3dca868a429985d913522d056fd00b9e082,14
1,68,transfer,1735732800240,0x7afb354ffa480be12ef75582918e61e023861034,9
2,228,other,1735732800719,0xf35b194baee5919c19e1494e19eea09d437f805c,383
3,68,transfer,1735732800873,0x24cb0df0eb3a45ea68facd3376a3c14fdd3b009f,0
4,68,transfer,1735732800902,0xcadca7a736cf5c35ff30f8fb7196795e5f1ed32e,0
5,68,transfer,1735732800998,0x4b4665d2b1670339148e6ce43a1625e6d282123f,754
6,2276,swap,1735732801149,0xe9fda3dca868a429985d913522d056fd00b9e082,15
7,164,other,1735732801155,0x85dc44e0c3afdfedca52678bd4c000917c6597b2,290
8,1316,other,1735732801167,0x7830c87c02e56aff27fa8ab1241711331fa86f43,2021304
9,2056,other,1735732801782,0xcd3b67417505f3f18e6a1948c59f782ef119e756,3
10,196,swap,1735732801931,0x9777dc7d279fe0e0e5b70f119adbc522ed109923,85
11,68,transfer,1735732801943,0x7201d4daafd307d1c0112ac5bba4750c75ea0339,8
12,68,transfer,1735732801950,0xd5f5475502120ad0e3dbaa25ecedffd19d6569fa,334
13,1732,other,1735732802012,0x7830c87c02e56aff27fa8ab1241711331fa86f43,2021305
14,68,transfer,1735732802290,0x86dbf9ca4e14709668880f2a25590fc9d700370f,525
15,68,transfer,1735732802322,0xb24cb148635e84020594f8749c5d21fcafb7c353,4809
16,68,transfer,1735732802322,0x893ee5a10aec49aae0ae6e5a78ff79e2069f82e8,4455
17,2,other,1735732802353,0x20312e96b1a0568ac31c6630844a962383cc66c2,145407
18,68,transfer,1735732802356,0x14686046ce6e9275003386e6af8478f589918e3f,16
19,68,transfer,1735732802513,0x189e61e95722f868cc3537b583fb88a80cf6be16,7335
20,804,other,1735732802611,0x780bdd4fdff5329ed68f95d0d3fced4abb9e15d3,564
21,68,transfer,1735732802670,0x0c8a3cd00a1095421e796ba6273f8538fb9007ff,145
22,68,transfer,1735732802749,0xe6026f60efc3d0e714f1b89c596aa484ffbd25c8,38405
23,68,transfer,1735732803054,0x41fbba5cb38d22b2d80606406944cedd7c97f6f9,47248
24,68,transfer,1735732803065,0x422d87ddebc9290003df7d8de1fbc619d6cda07b,4
25,965,swap,1735732803092,0x09ae902782365440975d9a46a8921b92a6f44512,12
26,68,transfer,1735732803134,0x8b32ed32cce993a7df8ea6b7d970ef9094fb4c1a,3940
27,68,transfer,1735732803187,0x4437d9efb54f33c6123777337539f358e7bd8a74,171
28,68,transfer,1735732803420,0x4c6007e38ce164ed80ff8ff94192225fcdac68cd,70509
29,68,transfer,1735732803730,0xdb3ded7731c781224ec292e2163d9554c094fd7c,30784
30,68,transfer,1735732804026,0x26352d20e6a05e04a1ecc75d4a43ae9989272621,300339
31,68,transfer,1735732804098,0x1edeeb612c77fbe027331360fc8a19e3565edba8,377
32,68,transfer,1735732804118,0x73ecd40f5f89697c517b0661f90122728267a956,789
33,68,transfer,1735732804217,0x1490fd65fc49b47b264e762b38b3983f1ac6290e,0
34,68,transfer,1735732804218,0xd4d2960e1e58a597723ae021cc811193f79153b1,9618
35,68,transfer,1735732804309,0x4a142619fe6a4d413091021eca5803de634e3c75,0
36,260,swap,1735732804429,0xe40bf24ca4a24d9bc958c571c038b00765c9bd94,0
37,68,transfer,1735732804449,0x3e15e063bf646b24603f5cbf26331018517f2490,0
38,68,transfer,1735732804539,0x736cb28b6bee639c057fe971a02ce845d57c18fc,0
39,68,transfer,1735732804676,0x22cd177af0f45265896e539884c355eb79aa0844,0
40,68,transfer,1735732804690,0x04bba5972f9bb03b0430e26f8c4635aaf11fb337,0
41,805,swap,1735732804954,0x372934d5878e10a8b8e9a3cf2ead3bf929bd6f36,163
42,68,transfer,1735732805203,0x2570fcfa0218c521082556b2178b6af3478ca404,1
43,68,transfer,1735732805238,0x23be7ad844367698d9d8942471527f5f084314cb,74
44,68,other,1735732805402,0x42cf18596ee08e877d532df1b7cf763059a7ea57,166902
45,68,transfer,1735732805530,0x41fbba5cb38d22b2d80606406944cedd7c97f6f9,47250
46,68,transfer,1735732805759,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,10502092
47,68,transfer,1735732805942,0xc61141d4e19ed773aa696da5df56c86f724f3ece,5
48,2056,other,1735732805962,0x50f77c5640e07c304432af44fb4034cd51e36f6f,7835
49,68,transfer,1735732805989,0x26352d20e6a05e04a1ecc75d4a43ae9989272621,300340
50,68,transfer,1735732806086,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,10502093
51,805,swap,1735732806115,0x2cc22abb7e0d7bc5991f4d0e4e54841b5cbcf05c,15
52,439,other,1735732806442,0x6809b95622b2dcc53d2f3fb2301b36f6a8c5b584,8495
53,4,other,1735732806446,0xb3f5130e287e6611323ad263e37ce763d4f129e8,43905
54,132,other,1735732806612,0xe8c21b2ca7d2dafe1be8c67618d917ed46fb948b,9
55,68,transfer,1735732807118,0xb75690f6916933261796a06f93dd6a3e8706b020,77266
56,68,transfer,1735732807165,0x9642b23ed1e01df1092b92641051881a322f5d4e,620417
57,132,other,1735732807385,0x0f519e4a274a7d681b40053826d3c5958983eb4b,21
58,68,transfer,1735732807831,0x26352d20e6a05e04a1ecc75d4a43ae9989272621,300341
59,260,swap,1735732807865,0xf7fd8da5e52b23f2ed5550876d5f0f532f350cc8,133
60,68,transfer,1735732808112,0x974caa59e49682cda0ad2bbe82983419a2ecc400,3754008
61,68,transfer,1735732808133,0x0d0707963952f2fba59dd06f2b425ace40b492fe,7371240
62,68,transfer,1735732808133,0x0d0707963952f2fba59dd06f2b425ace40b492fe,7371239
63,68,transfer,1735732808322,0x9642b23ed1e01df1092b92641051881a322f5d4e,620418
64,68,transfer,1735732808482,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,67090
65,1444,swap,1735732808646,0x8ef1a7beeee9f8887d5277331a35f1a63b662fbe,233
66,164,other,1735732808697,0x20011fa1a83bba9c8357f852ec667d8439a7da4a,110689
67,196,swap,1735732809345,0x1e95ca51111c526020151920fe602d59e939680c,3
